"","NSC","PANEL","CELL","NLOGGI50","INDN","TOTN","DRUGNAME"
"1",752,"Non-Small Cell Lung","NCI-H23",5.513,1,1,"6-Thioguanine"
"2",752,"Non-Small Cell Lung","NCI-H522",5.684,1,1,"6-Thioguanine"
"3",752,"Non-Small Cell Lung","A549/ATCC",5.328,1,1,"6-Thioguanine"
"4",752,"Non-Small Cell Lung","EKVX",5.428,1,1,"6-Thioguanine"
"5",752,"Non-Small Cell Lung","NCI-H226",5.158,1,1,"6-Thioguanine"
"6",752,"Non-Small Cell Lung","NCI-H322M",4.623,1,1,"6-Thioguanine"
"7",752,"Non-Small Cell Lung","NCI-H460",6.005,1,1,"6-Thioguanine"
"8",752,"Non-Small Cell Lung","HOP-62",6.143,1,1,"6-Thioguanine"
"9",752,"Non-Small Cell Lung","HOP-92",5.751,1,1,"6-Thioguanine"
"10",752,"Colon","HT29",5.926,1,1,"6-Thioguanine"
"11",752,"Colon","HCT-116",6.232,1,1,"6-Thioguanine"
"12",752,"Colon","SW-620",5.444,1,1,"6-Thioguanine"
"13",752,"Colon","COLO 205",5.629,1,1,"6-Thioguanine"
"14",752,"Colon","HCT-15",5.601,1,1,"6-Thioguanine"
"15",752,"Colon","KM12",5.488,1,1,"6-Thioguanine"
"16",752,"Breast","MCF7",6.262,1,1,"6-Thioguanine"
"17",752,"Ovarian","NCI/ADR-RES",6.375,1,1,"6-Thioguanine"
"18",752,"Breast","HS 578T",5.159,1,1,"6-Thioguanine"
"19",752,"Melanoma","MDA-MB-435",6.258,1,1,"6-Thioguanine"
"20",752,"Melanoma","MDA-N",6.267,1,1,"6-Thioguanine"
"21",752,"Breast","BT-549",5.855,1,1,"6-Thioguanine"
"22",752,"Breast","T-47D",6.016,1,1,"6-Thioguanine"
"23",752,"Ovarian","OVCAR-3",5.841,1,1,"6-Thioguanine"
"24",752,"Ovarian","OVCAR-4",5.302,1,1,"6-Thioguanine"
"25",752,"Ovarian","OVCAR-5",6.194,1,1,"6-Thioguanine"
"26",752,"Ovarian","OVCAR-8",6.364,1,1,"6-Thioguanine"
"27",752,"Ovarian","IGROV1",5.22,1,1,"6-Thioguanine"
"28",752,"Ovarian","SK-OV-3",6.281,1,1,"6-Thioguanine"
"29",752,"Leukemia","CCRF-CEM",6.503,1,1,"6-Thioguanine"
"30",752,"Leukemia","K-562",4,1,1,"6-Thioguanine"
"31",752,"Leukemia","RPMI-8226",5.886,1,1,"6-Thioguanine"
"32",752,"Leukemia","SR",6.231,1,1,"6-Thioguanine"
"33",752,"Renal","UO-31",6.085,1,1,"6-Thioguanine"
"34",752,"Renal","SN12C",5.077,1,1,"6-Thioguanine"
"35",752,"Renal","A498",4.611,1,1,"6-Thioguanine"
"36",752,"Renal","CAKI-1",6.463,1,1,"6-Thioguanine"
"37",752,"Renal","RXF 393",6.324,1,1,"6-Thioguanine"
"38",752,"Renal","786-0",5.839,1,1,"6-Thioguanine"
"39",752,"Renal","ACHN",5.394,1,1,"6-Thioguanine"
"40",752,"Renal","TK-10",6.266,1,1,"6-Thioguanine"
"41",752,"Melanoma","MALME-3M",5.504,1,1,"6-Thioguanine"
"42",752,"Melanoma","SK-MEL-2",5.77,1,1,"6-Thioguanine"
"43",752,"Melanoma","SK-MEL-5",5.571,1,1,"6-Thioguanine"
"44",752,"Melanoma","SK-MEL-28",5.217,1,1,"6-Thioguanine"
"45",752,"Melanoma","M14",6.169,1,1,"6-Thioguanine"
"46",752,"Melanoma","UACC-62",6.425,1,1,"6-Thioguanine"
"47",752,"Melanoma","UACC-257",5.226,1,1,"6-Thioguanine"
"48",752,"Prostate","PC-3",5.475,1,1,"6-Thioguanine"
"49",752,"Prostate","DU-145",6.269,1,1,"6-Thioguanine"
"50",752,"Central Nervous System","SNB-19",4.051,1,1,"6-Thioguanine"
"51",752,"Central Nervous System","SNB-75",5.983,1,1,"6-Thioguanine"
"52",752,"Central Nervous System","U251",5,1,1,"6-Thioguanine"
"53",752,"Central Nervous System","SF-268",5.933,1,1,"6-Thioguanine"
"54",752,"Central Nervous System","SF-295",5.906,1,1,"6-Thioguanine"
"55",752,"Central Nervous System","SF-539",6.218,1,1,"6-Thioguanine"
"56",762,"Non-Small Cell Lung","NCI-H23",5.672,2,2,"Nitrogen mustard"
"57",762,"Non-Small Cell Lung","NCI-H522",6.058,1,2,"Nitrogen mustard"
"58",762,"Non-Small Cell Lung","A549/ATCC",5.584,2,2,"Nitrogen mustard"
"59",762,"Non-Small Cell Lung","EKVX",5.217,1,2,"Nitrogen mustard"
"60",762,"Non-Small Cell Lung","NCI-H226",5.078,1,2,"Nitrogen mustard"
"61",762,"Non-Small Cell Lung","NCI-H322M",4.708,2,2,"Nitrogen mustard"
"62",762,"Non-Small Cell Lung","NCI-H460",6.848,2,2,"Nitrogen mustard"
"63",762,"Non-Small Cell Lung","HOP-62",5.204,2,2,"Nitrogen mustard"
"64",762,"Non-Small Cell Lung","HOP-92",6.117,2,2,"Nitrogen mustard"
"65",762,"Colon","HT29",5.638,1,2,"Nitrogen mustard"
"66",762,"Colon","HCC-2998",5.555,2,2,"Nitrogen mustard"
"67",762,"Colon","HCT-116",5.68,2,2,"Nitrogen mustard"
"68",762,"Colon","SW-620",5.991,2,2,"Nitrogen mustard"
"69",762,"Colon","COLO 205",5.707,1,2,"Nitrogen mustard"
"70",762,"Colon","HCT-15",5.672,2,2,"Nitrogen mustard"
"71",762,"Colon","KM12",4.952,1,2,"Nitrogen mustard"
"72",762,"Colon","RKOp53RE1",5.755,2,2,"Nitrogen mustard"
"73",762,"Colon","HT29p53RE22",6.337,2,2,"Nitrogen mustard"
"74",762,"Colon","H1299p53RE29",4.762,2,2,"Nitrogen mustard"
"75",762,"Colon","RKO Waf1",5.941,2,2,"Nitrogen mustard"
"76",762,"Breast","MCF7",5.758,2,2,"Nitrogen mustard"
"77",762,"Ovarian","NCI/ADR-RES",5.478,1,2,"Nitrogen mustard"
"78",762,"Breast","MDA-MB-231/ATCC",4.648,1,2,"Nitrogen mustard"
"79",762,"Breast","HS 578T",6.042,1,2,"Nitrogen mustard"
"80",762,"Melanoma","MDA-MB-435",4.907,2,2,"Nitrogen mustard"
"81",762,"Melanoma","MDA-N",4.867,2,2,"Nitrogen mustard"
"82",762,"Breast","BT-549",4.98,2,2,"Nitrogen mustard"
"83",762,"Breast","T-47D",6.016,2,2,"Nitrogen mustard"
"84",762,"Breast","T47D FOS1",5.552,2,2,"Nitrogen mustard"
"85",762,"Breast","T47D NFkB15",6.032,2,2,"Nitrogen mustard"
"86",762,"Breast","T47D ERE4",6.209,2,2,"Nitrogen mustard"
"87",762,"Breast","MCF7-E6",6.671,2,2,"Nitrogen mustard"
"88",762,"Ovarian","OVCAR-3",5.052,2,2,"Nitrogen mustard"
"89",762,"Ovarian","OVCAR-4",5.091,2,2,"Nitrogen mustard"
"90",762,"Ovarian","OVCAR-5",4.89,2,2,"Nitrogen mustard"
"91",762,"Ovarian","OVCAR-8",4.938,1,2,"Nitrogen mustard"
"92",762,"Ovarian","IGROV1",5.286,1,2,"Nitrogen mustard"
"93",762,"Ovarian","SK-OV-3",4.919,2,2,"Nitrogen mustard"
"94",762,"Leukemia","CCRF-CEM",6.454,1,2,"Nitrogen mustard"
"95",762,"Leukemia","K-562",4.88,2,2,"Nitrogen mustard"
"96",762,"Leukemia","MOLT-4",6.224,1,2,"Nitrogen mustard"
"97",762,"Leukemia","HL-60(TB)",6.399,1,2,"Nitrogen mustard"
"98",762,"Leukemia","RPMI-8226",5.902,2,2,"Nitrogen mustard"
"99",762,"Renal","UO-31",5.679,2,2,"Nitrogen mustard"
"100",762,"Renal","SN12C",5.185,2,2,"Nitrogen mustard"
"101",762,"Renal","A498",5.034,1,2,"Nitrogen mustard"
"102",762,"Renal","CAKI-1",6.968,1,2,"Nitrogen mustard"
"103",762,"Renal","RXF 393",5.697,2,2,"Nitrogen mustard"
"104",762,"Renal","786-0",5.82,2,2,"Nitrogen mustard"
"105",762,"Renal","ACHN",6.399,2,2,"Nitrogen mustard"
"106",762,"Renal","TK-10",4.949,2,2,"Nitrogen mustard"
"107",762,"Melanoma","LOX IMVI",5.652,2,2,"Nitrogen mustard"
"108",762,"Melanoma","MALME-3M",6.238,1,2,"Nitrogen mustard"
"109",762,"Melanoma","SK-MEL-2",4.635,2,2,"Nitrogen mustard"
"110",762,"Melanoma","SK-MEL-28",4.931,2,2,"Nitrogen mustard"
"111",762,"Melanoma","M14",5.102,2,2,"Nitrogen mustard"
"112",762,"Melanoma","UACC-62",5.073,2,2,"Nitrogen mustard"
"113",762,"Melanoma","UACC-257",4.832,2,2,"Nitrogen mustard"
"114",762,"Prostate","PC-3",5.182,2,2,"Nitrogen mustard"
"115",762,"Prostate","DU-145",5.783,2,2,"Nitrogen mustard"
"116",762,"Central Nervous System","SNB-19",4.341,2,2,"Nitrogen mustard"
"117",762,"Central Nervous System","SNB-75",5.743,1,2,"Nitrogen mustard"
"118",762,"Central Nervous System","U251",5.344,2,2,"Nitrogen mustard"
"119",762,"Central Nervous System","SF-268",5.833,1,2,"Nitrogen mustard"
"120",762,"Central Nervous System","SF-539",5.913,2,2,"Nitrogen mustard"
"121",1390,"Non-Small Cell Lung","NCI-H23",4,2,2,"Allopurinol"
"122",1390,"Non-Small Cell Lung","NCI-H522",4.074,2,2,"Allopurinol"
"123",1390,"Non-Small Cell Lung","A549/ATCC",4,2,2,"Allopurinol"
"124",1390,"Non-Small Cell Lung","EKVX",4,2,2,"Allopurinol"
"125",1390,"Non-Small Cell Lung","NCI-H226",4,2,2,"Allopurinol"
"126",1390,"Non-Small Cell Lung","NCI-H322M",4,2,2,"Allopurinol"
"127",1390,"Non-Small Cell Lung","NCI-H460",4,2,2,"Allopurinol"
"128",1390,"Non-Small Cell Lung","HOP-62",4,2,2,"Allopurinol"
"129",1390,"Colon","HT29",4,2,2,"Allopurinol"
"130",1390,"Colon","HCT-116",4,2,2,"Allopurinol"
"131",1390,"Colon","SW-620",4,2,2,"Allopurinol"
"132",1390,"Colon","COLO 205",4,2,2,"Allopurinol"
"133",1390,"Colon","HCT-15",4,2,2,"Allopurinol"
"134",1390,"Colon","KM12",4,2,2,"Allopurinol"
"135",1390,"Breast","MCF7",4,2,2,"Allopurinol"
"136",1390,"Ovarian","NCI/ADR-RES",4,2,2,"Allopurinol"
"137",1390,"Breast","MDA-MB-231/ATCC",4,2,2,"Allopurinol"
"138",1390,"Breast","HS 578T",4,2,2,"Allopurinol"
"139",1390,"Melanoma","MDA-MB-435",4,2,2,"Allopurinol"
"140",1390,"Breast","BT-549",4,1,2,"Allopurinol"
"141",1390,"Breast","T-47D",4,2,2,"Allopurinol"
"142",1390,"Breast","MDA-MB-468",4,2,2,"Allopurinol"
"143",1390,"Ovarian","OVCAR-3",4,2,2,"Allopurinol"
"144",1390,"Ovarian","OVCAR-4",4,2,2,"Allopurinol"
"145",1390,"Ovarian","OVCAR-5",4,2,2,"Allopurinol"
"146",1390,"Ovarian","OVCAR-8",4,2,2,"Allopurinol"
"147",1390,"Ovarian","IGROV1",4.263,1,2,"Allopurinol"
"148",1390,"Ovarian","SK-OV-3",4.066,2,2,"Allopurinol"
"149",1390,"Leukemia","CCRF-CEM",4,2,2,"Allopurinol"
"150",1390,"Leukemia","K-562",4,2,2,"Allopurinol"
"151",1390,"Leukemia","MOLT-4",4,2,2,"Allopurinol"
"152",1390,"Leukemia","HL-60(TB)",4.098,2,2,"Allopurinol"
"153",1390,"Leukemia","RPMI-8226",4,2,2,"Allopurinol"
"154",1390,"Leukemia","SR",4,2,2,"Allopurinol"
"155",1390,"Renal","UO-31",4.188,2,2,"Allopurinol"
"156",1390,"Renal","SN12C",4,2,2,"Allopurinol"
"157",1390,"Renal","A498",4,2,2,"Allopurinol"
"158",1390,"Renal","CAKI-1",4,1,2,"Allopurinol"
"159",1390,"Renal","RXF 393",4,1,2,"Allopurinol"
"160",1390,"Renal","786-0",4,2,2,"Allopurinol"
"161",1390,"Renal","ACHN",4,2,2,"Allopurinol"
"162",1390,"Renal","TK-10",4.024,2,2,"Allopurinol"
"163",1390,"Melanoma","LOX IMVI",4,2,2,"Allopurinol"
"164",1390,"Melanoma","MALME-3M",4,2,2,"Allopurinol"
"165",1390,"Melanoma","SK-MEL-2",4.438,2,2,"Allopurinol"
"166",1390,"Melanoma","SK-MEL-5",4,2,2,"Allopurinol"
"167",1390,"Melanoma","SK-MEL-28",4,2,2,"Allopurinol"
"168",1390,"Melanoma","M14",4,2,2,"Allopurinol"
"169",1390,"Melanoma","UACC-62",4,2,2,"Allopurinol"
"170",1390,"Melanoma","UACC-257",4,2,2,"Allopurinol"
"171",1390,"Prostate","PC-3",4,2,2,"Allopurinol"
"172",1390,"Prostate","DU-145",4.033,2,2,"Allopurinol"
"173",1390,"Central Nervous System","SNB-19",4,2,2,"Allopurinol"
"174",1390,"Central Nervous System","SNB-75",4,2,2,"Allopurinol"
"175",1390,"Central Nervous System","U251",4,2,2,"Allopurinol"
"176",1390,"Central Nervous System","SF-268",4,2,2,"Allopurinol"
"177",1390,"Central Nervous System","SF-295",4,2,2,"Allopurinol"
"178",1390,"Central Nervous System","SF-539",4,2,2,"Allopurinol"
"179",3053,"Non-Small Cell Lung","NCI-H23",8,2,2,"Actinomycin D"
"180",3053,"Non-Small Cell Lung","NCI-H522",8,2,2,"Actinomycin D"
"181",3053,"Non-Small Cell Lung","A549/ATCC",8,2,2,"Actinomycin D"
"182",3053,"Non-Small Cell Lung","EKVX",8,1,2,"Actinomycin D"
"183",3053,"Non-Small Cell Lung","NCI-H226",8,2,2,"Actinomycin D"
